violation_desc,violation_type
FAIL TO YIELD RIGHT OF WAY,UNSAFEDRIVING
FAIL TO DISPLAY PROOF OF VEHICLE INSURANCE,OTHER
DISOBEY TRAFFIC CONTROL DEVICE,UNSAFEDRIVING
CHANGE LANES WITHOUT CAUTION,UNSAFEDRIVING
FAIL TO GIVE HAND OR MECHANICAL TURN SIGNAL,UNSAFEDRIVING
"DISTRACTED DRIVING USING CELL PHONE, OTHER DEVICE",UNSAFEOPER
NO PERMIT PAST EXPIRATION DATE PLUS 90 DAYS,UNSAFEOPER
NO LIGHTS RUNNING ON VEHICLE,UNSAFEVEHICLE
VIOLATION OF ONE WAY STREET RESTRICTION,UNSAFEDRIVING
FAIL TO CONTROL VEHICLE SPEED TO AVOID COLLIDING,UNSAFEDRIVING
PASSING A YELLOW TRAFFIC SIGNAL,UNSAFEDRIVING
COLLIDING WITH PEDESTRIAN,UNSAFEDRIVING
FAIL TO HAVE LICENSE,UNSAFEOPER
PASSING STOP SIGN WITHOUT COMING TO A FULL STOP,UNSAFEDRIVING
FAIL TO STOP PER REGULATIONS FACING RED SIGNAL,UNSAFEDRIVING
MAKING A U TURN WHERE U TURNS ARE PROHIBITED,UNSAFEDRIVING
EXPIRED INSPECTION STICKER,UNSAFEOPER
TURN RIGHT ON RED WITHOUT COMPLETE STOP,UNSAFEDRIVING
FAIL TO DISPLAY CURRENT TAGS,UNSAFEOPER
OWNER OPERATE OR PERMIT OPERATION OF UNINSRD VEH,UNSAFEOPER
DEAD OR EXPIRED TAGS,UNSAFEOPER
MAKING A TURN FROM THE WRONG LANE,UNSAFEDRIVING
SEAT BELT REGULATION VIOLATION,UNSAFEDRIVING
FAIL TO EXHIBIT REGISTRATION,UNSAFEOPER
"RIGHT TURN ON RED, VIOLATION NO TURN ON RED SIGN",UNSAFEDRIVING
DISTRACTED DRIVING,UNSAFEDRIVING
OBSTRUCTING TRAFFIC,LOWSPEED
ONE RUNNING LIGHT,UNSAFEDRIVING
NO REAR LIGHTS,UNSAFEVEHICLE
UNREGISTERED VEHICLE 30 DAYS OR LESS,UNSAFEOPER
ONE WAY STREET VIOLATION,UNSAFEDRIVING
FAIL TO PAY ATTENTION WHILE OPERATING A VEHICLE,UNSAFEDRIVING
FAIL TO CLEAR INTERSECTION,UNSAFEDRIVING
OPERATING HIGH BEAM LIGHTS,UNSAFEVEHICLE
DRIVE OVER A SIDEWALK,UNSAFEDRIVING
"LANE, IMPROPER USE OF RESTRICTED",UNSAFEDRIVING
NO STOP LIGHT(S),UNSAFEVEHICLE
FAIL TO OBEY OFFICER'S ORDERS,UNSAFEOPER
FOLLOW A VEHICLE TOO CLOSELY,UNSAFEDRIVING
PERMIT UNLICENSED DRIVER TO OPERATE VEHICLE,UNSAFEOPER
PERMIT UNAUTHORIZED PERSON TO OPERATE VEHICLE,UNSAFEOPER
COLLIDING WITH FIXED OBJECT W/NO DAMAGE OR INJURY,UNSAFEDRIVING
PASS WITHOUT CAUTION,UNSAFEDRIVING
ALTERED TAGS,UNSAFEOPER
MOTOR DRIVEN CYCLE SPEED > 30 MPH,HIGHSPEED
SPEED 16-20 MPH OVER THE SPEED LIMIT,HIGHSPEED
FAIL TO YIELD TO PEDESTRIAN AT NON-SIGNALIZED SITE,UNSAFEDRIVING
FAIL TO KEEP IN LANE,UNSAFEDRIVING
FAIL TO YIELD TO ANOTHER  VEHICLE,UNSAFEDRIVING
OPEN DOOR TO APPROACHING TRAFFIC,UNSAFEDRIVING
BACK UP WITHOUT CAUTION,UNSAFEDRIVING
FAIL TO EXHIBIT DRIVER'S LICENSE OR PERMIT,UNSAFEOPER
